,Unnamed: 0,id,name,genre,keywords,exclude?,group,lowerDownloads,upperDownloads,rating,total_ratings,last_updated,weighted_rating,reviewer,second
104,404,com.dynamicg.timerecording,Time Recording - Timesheet App,Productivity,"[timekeeping, time keeping]",,time,1000000,5000000,4.547834873,20991,23/09/2016,95463.60182,Luke,
105,395,com.intuit.quickbooks,QuickBooks Accounting+Invoice,Business,[timekeeping],,time,1000000,5000000,4.294495106,16367,17/10/2016,70288.0014,Arosha,
127,189,jp.co.recruit.mtl.beslim,Weight Loss Tracker - RecStyle,Health & Fitness,[body fat],,weight,1000000,5000000,4.34793663,16092,11/07/2016,69966.99625,Ciaran,
20,79,com.azumio.instantheartrate.full,Instant Heart Rate Monitor Pro,Health & Fitness,"[heartrate, heart rate]",,heart,100000,500000,4.328206062,15798,19/10/2016,68376.99937,Arosha,
106,442,com.aadhk.time,Timesheet,Business,[time keeping],,time,500000,1000000,4.417992115,14651,06/09/2016,64728.00248,Blaine,
15,26,fi.polar.polarflow,Polar Flow - Activity & Sports,Health & Fitness,"[exercise, workouts]",,hardware,1000000,5000000,2.995653868,19097,17/10/2016,57208.00192,Luke,
107,147,arproductions.andrew.worklog,Work Log,Productivity,[timekeeping],,time,500000,1000000,4.526714325,12540,29/08/2016,56764.99764,Arosha,
21,245,com.heartrate.monitor,Heart Rate Monitor,Health & Fitness,"[heartrate, heart rate]",,heart,1000000,5000000,3.585238695,14958,16/08/2016,53628.0004,Blaine,
22,197,com.supersimpleapps.heart_rate_monitor_newui,Unique Heart Rate Monitor,Health & Fitness,"[heartrate, heart rate]",,heart,1000000,5000000,4.430966854,10198,04/02/2016,45186.99998,Blaine,
23,299,com.dungelin.heartrate,Heart Rate Monitor & Tracker,Health & Fitness,"[heartrate, heart rate]",,heart,500000,1000000,4.244639874,9561,08/10/2016,40583.00184,Ciaran,
108,136,com.rauscha.apps.timesheet,Timesheet - Time Tracker,Productivity,[time keeping],,time,500000,1000000,4.455225468,8956,03/06/2016,39900.99929,Arosha,
24,61,comm.cchong.BloodAssistant,iCare Health Monitor (BP & HR),Health & Fitness,"[heartrate, heart rate]",,heart,500000,1000000,4.428992271,8830,22/10/2016,39108.00175,Blaine,
60,127,com.madinsweden.sleeptalk,Sleep Talk Recorder,Lifestyle,[sleep],,sleep,1000000,5000000,3.399535656,11198,25/06/2015,38068.00028,Luke,
36,177,com.soh,Secret Of Happiness,Health & Fitness,[happiness],,mood,100000,500000,4.329638004,6495,03/02/2015,28120.99884,Ciaran,
9,383,com.abma.dietplan,Diet Plan,Health & Fitness,[diet],,diet,100000,500000,4.016540527,6348,10/02/2015,25496.99927,Ciaran,
10,24,com.livestrong.tracker,MyPlate Calorie Tracker,Health & Fitness,[eating],,diet,100000,500000,4.470141411,5660,23/08/2016,25301.00039,Ciaran,
37,378,com.bliss.phonegap,Gratitude Journal,Productivity,[happiness],,mood,100000,500000,4.622894287,2909,14/06/2016,13447.99948,Ciaran,
61,235,com.ihandysoft.alarmclockpro,Alarm Clock Pro,Tools,[sleep],,sleep,50000,100000,3.86980176,2577,28/09/2016,9972.479136,Blaine,
38,263,com.moodtools.moodtools,MoodTools - Depression Aid,Medical,[mood],,mood,100000,500000,4.315261841,2195,16/07/2016,9471.999741,Luke,
39,110,com.moodtrak.diary,Moodtrack Diary: Mood Tracker,Lifestyle,[mood],,mood,50000,100000,4.203898907,1898,11/09/2015,7979.000125,Luke,
2,401,com.matixsoft.velopal,VeloPal  GPS Cycling,Health & Fitness,[cycling],,cycling,10000,50000,4.062034607,403,18/07/2016,1636.999947,Arosha,
12,166,de.aktiwir.aktifit,Simple Workout Log - aktiFit,Health & Fitness,"[exercise, workouts]",,exercise,10000,50000,4.415019989,253,01/08/2016,1117.000057,Luke,
3,1,com.sportsapps.indoor.cycling,Indoor Cycling,Sports,[cycling],,cycling,10000,50000,4.151111126,225,04/10/2015,934.0000034,Arosha,
13,264,com.biostatusfit.www,Fitness Tracker,Health & Fitness,"[exercise, workouts]",,exercise,1000,5000,3.950000048,20,24/04/2016,79.00000096,Blaine,
16,,com.xiaomi.hm.health,Mi Fit,Health & Fitness,[hardware],,hardware,,,,,,,Ciaran,
17,,com.jawbone.upopen,UP - Smart Coach for Health,Health & Fitness,[hardware],,hardware,,,,,,,Ciaran,
